msisdn,event_time,cell_id
46F3421A06E2E4FA215A77B8880E2A93,2019-01-02 21:47:34,47382
BAE5DA8F50419F8BE1AC54541AEACE9B,2019-01-02 06:27:44,53098
FC6B087CAEF49E22F2094835288DC786,2019-01-02 13:41:29,75852
681EA5C9FB4467D6024BF496D7C4ED01,2019-01-02 10:57:02,31154
00A89B605629F0D6A16538DFC6D699B6,2019-01-02 20:49:22,65230
3083A262CC305CDB5E47440F051C037E,2019-01-02 11:59:43,94852
8E1C937FF5E2C6193EB40FD611505B85,2019-01-02 05:29:52,71409
AF2D1856DB9C7551D70B289184C50E49,2019-01-02 22:34:58,27312
3E657928F74D389DC7EB01B2C1C7EB7A,2019-01-02 17:28:54,15010
1687C5C0099AF520F373ACB237A62F75,2019-01-02 08:56:10,58725
AEE5DBC87EB8B2CE2A17AD15C2243EBB,2019-01-02 07:07:45,40534
CE024002FB647FB1ABB978936285EE2A,2019-01-02 01:40:04,14995
8A989AC79A3DA925C6121FE73B08FC01,2019-01-02 02:36:30,24001
F4C73A9D0555976FC3E778B37F6FAC1C,2019-01-02 04:51:16,68953
8EDDFC3CF6A33F70D2B6AC81B7736A55,2019-01-02 21:06:50,83806
025F4B7811506BC47058D2049B528FD5,2019-01-02 08:05:30,19374
DAB353E5EDAC760F66EAA8343F26CE82,2019-01-02 13:56:43,12732
ADDCFDA86CF6434C8C4C7AC6541E688D,2019-01-02 23:34:48,99668
3D1B039F581CEC27435801EB0453477F,2019-01-02 00:05:21,72525
66738D07531738DB9FEA92964A4D2B0A,2019-01-02 18:23:23,67052
0D313A08C708D8DA10939D354259E632,2019-01-02 05:46:49,06734
E031269660066223732887D09ACC0641,2019-01-02 00:55:08,09086
311F57CD677BFDC0CD16066159E2BA38,2019-01-02 06:48:56,91094
EF1EA8F7A7E5B53DDC93BF60C7DD56BA,2019-01-02 22:10:49,61261
61F57F62461B08E9FBA548A0E4A2AB39,2019-01-02 15:45:14,99608
DBC75F2190A5A366128D3A4F4673F1F7,2019-01-02 16:00:40,73917
3247759A7315AFD0DB7E8678002B4400,2019-01-02 18:40:57,04390
19A95B599D4794C355FFE2880F5D79CA,2019-01-02 09:07:17,63058
405845ED5F69F51291845F1D27216614,2019-01-02 13:35:46,77351
D5E1F90AE5CFA3E9411D9DF7ABD1E541,2019-01-02 22:50:50,25129
DE920A4D82C233DE2D2907B420CF09DA,2019-01-02 09:29:59,90408
0DDC56AD392847D0C04F62CD82BD897E,2019-01-02 19:13:46,79734
D7DB1BF68AAEC5FC6377B8D109A17FC2,2019-01-02 07:56:37,43193
FC8C9D0BA3FBB4BAE1C4348F3D78E6F6,2019-01-02 14:36:38,56004
51631AC604A40E2B980EF01B659CD5A6,2019-01-02 11:27:11,63090
957186B50FA5CE775BDB4107ACD76D5B,2019-01-02 14:50:15,33906
42DBAE09999E4A10582E40CFBAD86529,2019-01-02 01:07:10,36963
DD2B07977EC7DF39F5BC2ECAEBEF9EFC,2019-01-02 20:25:34,30861
8F7DFBEEB970E3F04CB040A77EC3ADFE,2019-01-02 23:35:27,77012
7E81A1444A9057C0F20FC214BB843B59,2019-01-02 21:39:04,28466
